Date,Country,Value
11/11/2020,Mexico,
11/12/2020,Mexico,20.517
11/13/2020,Mexico,20.45
11/16/2020,Mexico,20.302
11/17/2020,Mexico,20.306
11/18/2020,Mexico,20.246
11/19/2020,Mexico,20.183
11/20/2020,Mexico,20.083
1/1/2020,New Zealand,
1/2/2020,New Zealand,1.4943
1/3/2020,New Zealand,1.4986
1/6/2020,New Zealand,1.4999
1/7/2020,New Zealand,1.5088
1/8/2020,New Zealand,1.5056
1/9/2020,New Zealand,1.5131
1/10/2020,New Zealand,1.5063
1/13/2020,New Zealand,1.5072
1/14/2020,New Zealand,1.5122
1/15/2020,New Zealand,1.511
1/16/2020,New Zealand,1.5063
1/17/2020,New Zealand,1.5129
1/20/2020,New Zealand,
1/21/2020,New Zealand,1.5131
1/22/2020,New Zealand,1.5179
1/23/2020,New Zealand,1.5181
1/24/2020,New Zealand,1.5147
1/27/2020,New Zealand,1.5265
1/28/2020,New Zealand,1.5305
1/29/2020,New Zealand,1.533
1/30/2020,New Zealand,1.5408
1/31/2020,New Zealand,1.5466
2/3/2020,New Zealand,1.5473
2/4/2020,New Zealand,1.5432
2/5/2020,New Zealand,1.5439
2/6/2020,New Zealand,1.5475
2/7/2020,New Zealand,1.561
2/10/2020,New Zealand,1.5662
2/11/2020,New Zealand,1.562
2/12/2020,New Zealand,1.5451
2/13/2020,New Zealand,1.5518
2/14/2020,New Zealand,1.5535
2/17/2020,New Zealand,
2/18/2020,New Zealand,1.564
2/19/2020,New Zealand,1.5674
2/20/2020,New Zealand,1.5775
2/21/2020,New Zealand,1.5746
2/24/2020,New Zealand,1.5755
2/25/2020,New Zealand,1.5808
2/26/2020,New Zealand,1.5876
2/27/2020,New Zealand,1.5825
2/28/2020,New Zealand,1.6046
3/2/2020,New Zealand,1.5992
3/3/2020,New Zealand,1.5858
3/4/2020,New Zealand,1.5929
3/5/2020,New Zealand,1.5865
3/6/2020,New Zealand,1.5733
3/9/2020,New Zealand,1.5603
3/10/2020,New Zealand,1.5972
3/11/2020,New Zealand,1.585
3/12/2020,New Zealand,1.6407
3/13/2020,New Zealand,1.6523
3/16/2020,New Zealand,1.6343
3/17/2020,New Zealand,1.6835
3/18/2020,New Zealand,1.7307
3/19/2020,New Zealand,1.717
3/20/2020,New Zealand,1.7425
3/23/2020,New Zealand,1.764
3/24/2020,New Zealand,1.7259
3/25/2020,New Zealand,1.7212
3/26/2020,New Zealand,1.6773
3/27/2020,New Zealand,1.6606
3/30/2020,New Zealand,1.6692
3/31/2020,New Zealand,1.6781
4/1/2020,New Zealand,1.6824
4/2/2020,New Zealand,1.6923
4/3/2020,New Zealand,1.7077
4/6/2020,New Zealand,1.6807
4/7/2020,New Zealand,1.6711
4/8/2020,New Zealand,1.662
4/9/2020,New Zealand,1.6485
4/10/2020,New Zealand,1.6442
4/13/2020,New Zealand,1.6434
4/14/2020,New Zealand,1.6447
4/15/2020,New Zealand,1.6675
4/16/2020,New Zealand,1.6815
4/17/2020,New Zealand,1.6573
4/20/2020,New Zealand,1.6461
4/21/2020,New Zealand,1.6795
4/22/2020,New Zealand,1.681
4/23/2020,New Zealand,1.6595
4/24/2020,New Zealand,1.6658
4/27/2020,New Zealand,1.6518
4/28/2020,New Zealand,1.6493
4/29/2020,New Zealand,1.6383
4/30/2020,New Zealand,1.626
5/1/2020,New Zealand,1.6521
5/4/2020,New Zealand,1.6589
5/5/2020,New Zealand,1.6488
5/6/2020,New Zealand,1.6614
5/7/2020,New Zealand,1.6431
5/8/2020,New Zealand,1.6268
5/11/2020,New Zealand,1.6488
5/12/2020,New Zealand,1.6388
5/13/2020,New Zealand,1.6642
5/14/2020,New Zealand,1.6745
5/15/2020,New Zealand,1.6866
5/18/2020,New Zealand,1.6562
5/19/2020,New Zealand,1.6383
5/20/2020,New Zealand,1.6271
5/21/2020,New Zealand,1.6359
5/22/2020,New Zealand,1.6415
5/25/2020,New Zealand,
5/26/2020,New Zealand,1.6124
5/27/2020,New Zealand,1.6218
5/28/2020,New Zealand,1.6069
5/29/2020,New Zealand,1.6163
6/1/2020,New Zealand,1.5908
6/2/2020,New Zealand,1.576
6/3/2020,New Zealand,1.5538
6/4/2020,New Zealand,1.5499
6/5/2020,New Zealand,1.5354
6/8/2020,New Zealand,1.5288
6/9/2020,New Zealand,1.5323
6/10/2020,New Zealand,1.5284
6/11/2020,New Zealand,1.548
6/12/2020,New Zealand,1.555
6/15/2020,New Zealand,1.5538
6/16/2020,New Zealand,1.5501
6/17/2020,New Zealand,1.5475
6/18/2020,New Zealand,1.5557
6/19/2020,New Zealand,1.5571
6/22/2020,New Zealand,1.542
6/23/2020,New Zealand,1.5349
6/24/2020,New Zealand,1.5586
6/25/2020,New Zealand,1.5564
6/26/2020,New Zealand,1.5581
6/29/2020,New Zealand,1.5605
6/30/2020,New Zealand,1.5513
7/1/2020,New Zealand,1.5446
7/2/2020,New Zealand,1.5354
7/3/2020,New Zealand,
7/6/2020,New Zealand,1.5284
7/7/2020,New Zealand,1.5228
7/8/2020,New Zealand,1.5235
7/9/2020,New Zealand,1.5237
7/10/2020,New Zealand,1.5195
7/13/2020,New Zealand,1.5198
7/14/2020,New Zealand,1.5309
7/15/2020,New Zealand,1.5228
7/16/2020,New Zealand,1.5228
7/17/2020,New Zealand,1.5265
7/20/2020,New Zealand,1.5221
7/21/2020,New Zealand,1.5085
7/22/2020,New Zealand,1.4997
7/23/2020,New Zealand,1.5017
7/24/2020,New Zealand,1.5076
7/27/2020,New Zealand,1.4963
7/28/2020,New Zealand,1.5008
7/29/2020,New Zealand,1.5026
7/30/2020,New Zealand,1.5058
7/31/2020,New Zealand,1.5051
8/3/2020,New Zealand,1.5152
8/4/2020,New Zealand,1.5126
8/5/2020,New Zealand,1.5011
8/6/2020,New Zealand,1.5013
8/7/2020,New Zealand,1.5135
8/10/2020,New Zealand,1.517
8/11/2020,New Zealand,1.5207
8/12/2020,New Zealand,1.5181
8/13/2020,New Zealand,1.5251
8/14/2020,New Zealand,1.5258
8/17/2020,New Zealand,1.5274
8/18/2020,New Zealand,1.5179
8/19/2020,New Zealand,1.5135
8/20/2020,New Zealand,1.534
8/21/2020,New Zealand,1.5307
8/24/2020,New Zealand,1.53
8/25/2020,New Zealand,1.5314
8/26/2020,New Zealand,1.5152
8/27/2020,New Zealand,1.5058
8/28/2020,New Zealand,1.4835
8/31/2020,New Zealand,1.4808
9/1/2020,New Zealand,1.478
9/2/2020,New Zealand,1.4799
9/3/2020,New Zealand,1.491
9/4/2020,New Zealand,1.4921
9/7/2020,New Zealand,
9/8/2020,New Zealand,1.5078
9/9/2020,New Zealand,1.4975
9/10/2020,New Zealand,1.4999
9/11/2020,New Zealand,1.4999
9/14/2020,New Zealand,1.4899
9/15/2020,New Zealand,1.4894
9/16/2020,New Zealand,1.4804
9/17/2020,New Zealand,1.4863
9/18/2020,New Zealand,1.4754
9/21/2020,New Zealand,1.5008
9/22/2020,New Zealand,1.5069
9/23/2020,New Zealand,1.5228
9/24/2020,New Zealand,1.5286
9/25/2020,New Zealand,1.5288
9/28/2020,New Zealand,1.526
9/29/2020,New Zealand,1.5193
9/30/2020,New Zealand,1.5133
10/1/2020,New Zealand,1.504
10/2/2020,New Zealand,1.5101
10/5/2020,New Zealand,1.5058
10/6/2020,New Zealand,1.5076
10/7/2020,New Zealand,1.5168
10/8/2020,New Zealand,1.5207
10/9/2020,New Zealand,1.5002
10/12/2020,New Zealand,
10/13/2020,New Zealand,1.5042
10/14/2020,New Zealand,1.4997
10/15/2020,New Zealand,1.5181
10/16/2020,New Zealand,1.5133
10/19/2020,New Zealand,1.5081
10/20/2020,New Zealand,1.5184
10/21/2020,New Zealand,1.5004
10/22/2020,New Zealand,1.4981
10/23/2020,New Zealand,1.4977
10/26/2020,New Zealand,1.4966
10/27/2020,New Zealand,1.4885
10/28/2020,New Zealand,1.5015
10/29/2020,New Zealand,1.5149
10/30/2020,New Zealand,1.5129
11/2/2020,New Zealand,1.509
11/3/2020,New Zealand,1.4914
11/4/2020,New Zealand,1.4923
11/5/2020,New Zealand,1.4791
11/6/2020,New Zealand,1.4743
11/9/2020,New Zealand,1.4691
11/10/2020,New Zealand,1.4667
11/11/2020,New Zealand,
11/12/2020,New Zealand,1.4545
11/13/2020,New Zealand,1.4622
11/16/2020,New Zealand,1.4495
11/17/2020,New Zealand,1.4516
11/18/2020,New Zealand,1.4413
11/19/2020,New Zealand,1.4493
11/20/2020,New Zealand,1.4391
1/1/2020,Norway,
1/2/2020,Norway,8.8074
1/3/2020,Norway,8.8181
1/6/2020,Norway,8.8034
1/7/2020,Norway,8.8588
1/8/2020,Norway,8.8695
1/9/2020,Norway,8.8769
1/10/2020,Norway,8.8857
1/13/2020,Norway,8.8912
1/14/2020,Norway,8.871
1/15/2020,Norway,8.8575
1/16/2020,Norway,8.8821
1/17/2020,Norway,8.9133
1/20/2020,Norway,
1/21/2020,Norway,8.9698
1/22/2020,Norway,8.9846
1/23/2020,Norway,9.0158
1/24/2020,Norway,9.0393
1/27/2020,Norway,9.1438
1/28/2020,Norway,9.1325
1/29/2020,Norway,9.1646
1/30/2020,Norway,9.2067
1/31/2020,Norway,9.1985
2/3/2020,Norway,9.2815
2/4/2020,Norway,9.2123
2/5/2020,Norway,9.2125
2/6/2020,Norway,9.2342
2/7/2020,Norway,9.2888
2/10/2020,Norway,9.2961
2/11/2020,Norway,9.2546
2/12/2020,Norway,9.2148
2/13/2020,Norway,9.2602
2/14/2020,Norway,9.2479
2/17/2020,Norway,
2/18/2020,Norway,9.3092
2/19/2020,Norway,9.2762
2/20/2020,Norway,9.3194
2/21/2020,Norway,9.2782
2/24/2020,Norway,9.33
2/25/2020,Norway,9.3743
2/26/2020,Norway,9.3868
2/27/2020,Norway,9.3926
2/28/2020,Norway,9.4491
3/2/2020,Norway,9.3057
3/3/2020,Norway,9.2372
3/4/2020,Norway,9.285
3/5/2020,Norway,9.2792
3/6/2020,Norway,9.2473
3/9/2020,Norway,9.4723
3/10/2020,Norway,9.6008
3/11/2020,Norway,9.6262
3/12/2020,Norway,10.1959
3/13/2020,Norway,10.0904
3/16/2020,Norway,10.2664
3/17/2020,Norway,10.4332
3/18/2020,Norway,11.0912
3/19/2020,Norway,11.2584
3/20/2020,Norway,11.6842
3/23/2020,Norway,11.2963
3/24/2020,Norway,11.0926
3/25/2020,Norway,10.9069
3/26/2020,Norway,10.401
3/27/2020,Norway,10.5017
3/30/2020,Norway,10.6095
3/31/2020,Norway,10.4059
4/1/2020,Norway,10.4593
4/2/2020,Norway,10.3592
4/3/2020,Norway,10.5712
4/6/2020,Norway,10.4341
4/7/2020,Norway,10.2449
4/8/2020,Norway,10.2676
4/9/2020,Norway,10.1992
4/10/2020,Norway,10.175
4/13/2020,Norway,10.3121
4/14/2020,Norway,10.3037
4/15/2020,Norway,10.5356
4/16/2020,Norway,10.4691
4/17/2020,Norway,10.3099
4/20/2020,Norway,10.3634
4/21/2020,Norway,10.5984
4/22/2020,Norway,10.764
4/23/2020,Norway,10.5957
4/24/2020,Norway,10.68
4/27/2020,Norway,10.5772
4/28/2020,Norway,10.4079
4/29/2020,Norway,10.3548
4/30/2020,Norway,10.2553
5/1/2020,Norway,10.3348
5/4/2020,Norway,10.3445
5/5/2020,Norway,10.2603
5/6/2020,Norway,10.2799
5/7/2020,Norway,10.2274
5/8/2020,Norway,10.1864
5/11/2020,Norway,10.285
5/12/2020,Norway,10.1585
5/13/2020,Norway,10.1418
5/14/2020,Norway,10.2232
5/15/2020,Norway,10.2422
5/18/2020,Norway,10.0317
5/19/2020,Norway,9.9461
5/20/2020,Norway,9.9089
5/21/2020,Norway,9.951
5/22/2020,Norway,10.0159
5/25/2020,Norway,
5/26/2020,Norway,9.907
5/27/2020,Norway,9.9041
5/28/2020,Norway,9.7729
5/29/2020,Norway,9.7306
6/1/2020,Norway,9.6403
6/2/2020,Norway,9.5632
6/3/2020,Norway,9.4544
6/4/2020,Norway,9.3616
6/5/2020,Norway,9.2955
6/8/2020,Norway,9.2754
6/9/2020,Norway,9.2866
6/10/2020,Norway,9.3445
6/11/2020,Norway,9.5249
